origen,titulo,categorias,palabra_clave,votos,texto
1000 chistes,Dime con quién andas...,cortos|malos,feos,NA,- Dime con quién andas y te diré quién eres.  - No ando con nadie...  - Eres feo.
1000 chistes,Luz automática,cortos|malos|borrachos|matrimonios,neveras,NA,"Va el marido completamente borracho y le dice a su mujer al irse para cama:  - Me ha pasado algo increíble. He ido al baño y al abrir la puerta se ha encendido la luz automáticamente, sin hacer nada.  - ¡La madre que te parió!, ¡Te mato!, ya te has vuelto a mear en la nevera."
1000 chistes,Política argentina,cortos|malos,políticos|argentinos,NA,Un diputado argentino se encuentra en la calle con un amigo de la infancia y éste le pregunta: - ¿Cómo estás llevando esta crisis? - ¡La verdad que duermo como un bebé! - ¡Dormís como un bebé! ¿Pero cómo hacés? - ¡Me despierto cada 3 horas llorando!
1000 chistes,0 positivo,cortos|malos,sangre,NA,"- ¡Rápido, necesitamos sangre! - Yo soy 0 positivo. - Pues muy mal, necesitamos una mentalidad optimista."
1000 chistes,Mejor portero,cortos|malos,futbol|porteros,NA,- ¿Cuál es el mejor portero del mundial?  - Evidente ¡el de Para-guay!
1000 chistes,Donación para la piscina,cortos|malos,dinero|agua,NA,El otro día unas chicas llamarón a mi puerta y me pidieron una pequeña donación para una piscina local.  Les di un garrafa de agua.
1000 chistes,Clase de astrología,cortos|malos|profesores,planetas,NA,"- Andresito, ¿qué planeta va después de Marte?  - Miércole, señorita."
1000 chistes,Bob Esponja,cortos|malos,esponja|gimnasios,NA,- ¿Por qué Bob Esponja no va al gimnasio?  - Porque ya está cuadrado.
1000 chistes,Ojalá lloviera,cortos|malos,ciegos,NA,Van dos ciegos y le dice uno al otro:  - Ojalá lloviera...  - Ojalá yo también...
1000 chistes,En Canarias,cortos|suegras,canarias|coches|noticias,NA,"Noticia de última hora!!   Muere una suegra atropellada en Canarias.   Y esto es todo, las 8 en España y UNA menos en Canarias..."
1000 chistes,Dicen que estoy loco,cortos|malos|Jaimito,locos|sillas,NA,"– Mamá, mamá, en el colegio dicen que estoy loco. – ¿Y quién dice eso de ti? – ...Me lo dicen las sillas..."
