"word";"N";"list_sugerence_first";"list_sugerence_all"
"0";"2";"a";"a,e,o,d,u,y"
"1";"9";"a";"a,e,o,d,u,y"
"10";"5";NA;NA
"100";"4";NA;NA
"1000";"2";NA;NA
"12";"2";NA;NA
"120";"1";NA;NA
"14";"1";NA;NA
"15";"3";NA;NA
"16";"1";NA;NA
"17";"4";NA;NA
"18";"3";NA;NA
"1acto:un";"1";"tractoran";"tractoran"
"1er";"2";"ser";"ser,ter,fer,ver,her,ere"
"2";"17";"a";"a,e,o,d,u,y"
"2,10";"1";NA;NA
"20";"5";NA;NA
"2012";"1";NA;NA
"2013";"1";NA;NA
"21";"1";NA;NA
"22";"1";NA;NA
"24";"2";NA;NA
"254";"1";NA;NA
"2acto:una";"1";"mansuefacto";"mansuefacto"
"2do";"2";"do";"do,ido"
"2º";"1";NA;NA
"3";"16";"a";"a,e,o,d,u,y"
"30";"9";NA;NA
"31";"1";NA;NA
"3acto:el";"1";"acatalecto";"acatalecto"
"3er";"2";"ser";"ser,ter,fer,ver,her,ere"
"4";"14";"a";"a,e,o,d,u,y"
"5";"12";"a";"a,e,o,d,u,y"
"500";"2";NA;NA
"5ª";"2";NA;NA
"6";"3";"a";"a,e,o,d,u,y"
"69";"1";NA;NA
"70";"2";NA;NA
"8";"5";"a";"a,e,o,d,u,y"
"80";"1";NA;NA
"90";"3";NA;NA
"99";"1";NA;NA
"a";"535";"ea";"ea,ar,na,as,ca,ta,al,la,ad,da,fa,va,ah,ha,za"
"aaaaaatenciónn";"1";NA;NA
"aaaii";"1";NA;NA
"aahh";"1";"ah";"ah"
"abajo";"5";"abajo";"abajo,abajó,bajo,abaja,abaje,abano,abato,atajo,abalo,ahajo,abajá,abajé,a bajo"
"abandoné";"1";"abandone";"abandone,abandoné,abandona,abandono,abandonó,abandoná"
"abeto";"2";"abeto";"abeto,aneto,abetos,beato,abato,abete,abito,ateto,aleto"
"abogada";"1";"abogada";"abogada,abofada,abogad,bogada,abrogada,abogadas,abogara,abogado,abonada,abocada,abogaba,abobada,ahogada,azogada,aboyada"
"abogado";"1";"abogado";"abogado,abofado,abogad,bogado,abogador,abrogado,abogando,abogados,abogada,abonado,abocado,abobado,ahogado,azogado,aboyado"
"abogados";"1";"abogados";"abogados,abofados,abogado,bogados,abrogados,abogadas,abogador,abonados,abocados,abogamos,abobados,ahogados,azogados,aboyados,a bogados"
"abonarme";"1";"abonarme";"abonarme,abonare,abonarse,abonarte,abonarle,abonar me,abonar-me"
"aborda";"1";"aborda";"aborda,abordá,borda,abordar,abordan,abordas,abordad,zaborda,aborde,abordo,asorda,aborta,abordó,abordé,a borda"
"abordar";"2";"abordar";"abordar,aborda,bordar,abordara,abordare,zabordar,abordará,abordaré,abordan,abondar,abordas,asordar,acordar,abortar,abordad"
"abraham";"1";"abramos";"abramos"
"abran";"1";"abran";"abran,abra,aran,labran,aburan,abrían,jabran,abren,obran,abras,adran"
"abre";"25";"abre";"abre,are,abren,abres,sabre,labre,abure,jabre,brea,abra,arre,abro,obre,aire,acre"
"abres";"2";"abres";"abres,bares,abre,ares,sabres,labres,abures,jabres,breas,sabre,abras,arres,obres,aires,abren"
"abrí";"2";"abrí";"abrí,abría,abrís,jabrí,abra,abre,abro"
"abrieran";"1";"abrieran";"abrieran,abriera,jabrieran,abrieren,abrieron,abrieras"
"abrir";"3";"abrir";"abrir,jabrir,abrirá,abriré,abril,abrid,abrió"
"abro";"3";"abro";"abro,baro,obra,aro,labro,aburo,jabro,rabo,abra,abre,obro,adro,agro,abrí"
"abs";"1";"as";"as,aes,nababs"
"abuela";"5";"abuela";"abuela,abuelas,abuelo,asuela,amuela,azuela"
"abuelita";"3";"abuelastra";"abuelastra"
"abuelito";"1";"abuelastro";"abuelastro"
"abuelo";"9";"abuelo";"abuelo,abuelos,abuela,asuelo,amuelo,azuelo"
"abunda";"1";"abunda";"abunda,abundá,abundar,abundan,abundas,abundad,abunde,abundo,abundó,abundé"
"aburrida";"1";"aburrida";"aburrida,aburrid,aburridas,aburrada,aburrido,apurrida,aburrid a"
"acaba";"6";"acaba";"acaba,acabá,acabar,arcaba,acaban,acabas,sacaba,acabad,macaba,vacaba,acabe,acara,araba,acabo,asaba"
"acababa";"1";"acababa";"acababa,acababan,acababas,acabara,acaraba,acataba,acabala,alababa,acabada,acamaba,acaba"
"acabado";"1";"acabado";"acabado,acabad,acabador,acabando,acabados,acabada,acebado,acarado,acatado,acabalo,alabado,acamado,acaba do,acaba-do,acabad o"
"acabamos";"1";"acabamos";"acabamos,acabemos,acaramos,acatamos,alabamos,acabados,acamamos"
"acabar";"1";"acabar";"acabar,acaba,acabara,acabare,acabará,acabaré,arcaba,acarar,acaban,acabas,acatar,alabar,acabad,acamar"
"acabaste";"1";"acabaste";"acabaste,acabase,acaraste,acataste,alabaste,acamaste,acabas te,acabas-te"
"acábate";"1";"acate";"acate"
"acabo";"4";"acabo";"acabo,acabó,cabo,acabos,acaba,acabe,acebo,acaro,arabo,acaso,acato,alabo,acamo,acabá,acabé"
"acaso";"1";"acaso";"acaso,asaco,acosa,caso,acasos,acaro,acoso,ocaso,acato,acuso,acamo,amaso,acabo,a caso"
"accidente";"2";"accidente";"accidente,accidenté,accidenten,accidentes,accidenta,accidento,occidente,accidentó,accidentá"
"aceitunas";"1";"aceitunas";"aceitunas,aceituna,aceitunos"
"acentúa";"1";"acentuá";"acentuá,acentúa,acentúan,acentúas,acentúe,acentúo,acensúa"
"aceptamos";"1";"aceptamos";"aceptamos,acepamos,aceptemos,acertamos,aceitamos,aceptados"
"aceptas";"1";"aceptas";"aceptas,aceptás,aceptad,acepta,acepas,aceptase,aceptes,aceptar,aceptos,aceitas,aceptan,adeptas"
"acerca";"5";"acerca";"acerca,acercá,acera,cerca,acercar,acercan,acercas,acercad,cacera,acerco,acerba,acercó,a cerca"
"acercan";"2";"acercan";"acercan,acerca,aceran,cercan,acercar,acercas,acercad,a cercan"
"acero";"2";"acero";"acero,aceró,acore,cero,aceros,acerco,lacero,macero,acerbo,acera,acaro,acere,acoro,alero,acedo"
"acerques";"1";"acerques";"acerques,acerque,cerques,acerquen,a cerques"
"aciente";"1";"aviente";"aviente,naciente,paciente,haciente,yaciente,Naciente,acierte,asiente,aliente,acreciente,placiente,aliciente,accidente"
"aciertan";"1";"aciertan";"aciertan,acierta,acierten,aciertas"
"aclarado";"1";"aclarado";"aclarado,aclarad,acarado,aclarador,aclarando,aclarados,aclarada,aclamado,acharado,aclara do,aclara-do,aclarad o"
"aclaro";"1";"aclaro";"aclaro,aclaró,acaro,claro,aclareo,acolar,aclara,aclare,aclamo,acharo,aclará,aclaré,a claro"
"acompañado";"1";"acompasado";"acompasado,acompaÃ±ado,acompasad,compadreado,comparado"
"acompañe";"1";"acompase";"acompase,compacte"
"acompáñeme";"1";"acompÃ¡Ã±eme";"acompÃ¡Ã±eme"
"aconsejó";"1";"aconsejo";"aconsejo,aconsejó,aconseja,aconseje,aconsejá,aconsejé"
"acostado";"1";"acostado";"acostado,acostad,acosado,acotado,costado,acostando,acostados,acotados,acostada,acortado,apostado,agostado,a costado,acostad o"
"acostarse";"1";"acostarse";"acostarse,acostares,acostare,acostase,acosarse,acotarse,costarse,acortarse,apostarse,agostarse,a costarse,acostar se,acostar-se"
"acostaste";"2";"acostaste";"acostaste,acostase,acosaste,acotaste,costaste,acortaste,apostaste,agostaste,a costaste"
"activos";"1";"activos";"activos,activo,activas,actives,altivos,activás"
"acto";"29";"acto";"acto,cato,ato,acato,actor,acoto,actos,cacto,tacto,lacto,pacto,facto,jacto,actúo,taco"
"actor";"2";"actor";"actor,acto,factor,actos,autor"
"acuérdate";"1";"acuÃ©rdate";"acuÃ©rdate"
"acuerdo";"4";"acuerdo";"acuerdo,acurdo,cuerdo,acuerdos,acuerda,acuerde,acuerno,a cuerdo"
"acueste";"1";"acueste";"acueste,cueste,acuesten,acuestes,acuesta,acuesto,apueste,aqueste,a cueste"
"acuéstese";"1";"acueste";"acueste"
"acusa";"1";"acusa";"acusa,acusá,causa,aucas,acuda,cusa,acusar,acuosa,acusan,ancusa,acusas,acusad,ascua,acuse,acuso"
"acusado";"2";"acusado";"acusado,causado,acusad,acusador,acusando,acusados,acusada,acosado,acunado,atusado,aculado,abusado,ahusado,acusa do,acusa-do"
"adán";"1";"nadá";"nadá,adrarán"
"adecuados";"1";"adecuados";"adecuados,adecuado,adecuadas,adecuamos,adecua dos,adecua-dos,adecuad os,adecuad-os"
"adelante";"1";"adelante";"adelante,adelanté,delante,adelanten,adelantes,adelanta,adelanto,apelante,adelantó,adelantá,a delante"
"ademas";"1";"ademas";"ademas,además,adames,ademad,adema,ademase,adamas,ademes,edemas,ademar,ademan"
"además";"1";"ademas";"ademas,además,ademá,ademáis,adamás,ademes"
"adivinar";"2";"adivinar";"adivinar,adivina,divinar,adivinara,adivinare,adivinará,adivinaré,adivinan,adivinas,adivinad,a divinar"
"adivine";"1";"adivine";"adivine,adiviné,advine,divine,adivinen,adivines,adivina,adivino,adivinó,adiviná,a divine"
"adivino";"2";"adivino";"adivino,adivinó,advino,divino,adivinos,adivina,adivine,adiviná,adiviné,a divino"
"admiten";"1";"admiten";"admiten,admiren,admite,admitan,admites"
"admitimos";"1";"admitimos";"admitimos,admitamos,admitidos"
"adolescencia";"2";"adolescencia";"adolescencia,adolescencias"
"adolorido";"1";"adolorido";"adolorido,dolorido,adoloridos,adolorida,a dolorido"
"adónde";"1";"adonde";"adonde"
"adoptada";"1";"adoptada";"adoptada,adoptad,adoptadas,adaptada,adoptara,adoptado,adoptaba,ad optada,ad-optada,adopta da,adopta-da,adoptad a"
"adoptado";"1";"adoptado";"adoptado,adoptad,adoptador,adoptando,adoptados,adoptada,adaptado,ad optado,ad-optado,adopta do,adopta-do,adoptad o"
"adrede";"1";"adrede";"adrede,adrece,agrede,ad rede,ad-rede,adre de,adre-de"
"adversario";"1";"adversario";"adversario,adversarios,adversaria"
"aeróbic";"1";"aerobia";"aerobia"
"aeropuerto";"2";"aeropuerto";"aeropuerto,aeropuertos"
"afónica";"1";"afÃ³nica";"afÃ³nica"
"áfrica";"1";"frica";"frica"
"africano";"2";"africano";"africano,africanos,africana,africado"
"agaché";"1";"agache";"agache,agaché,aguaché,agacha,agacho,acaché,agachó,agachá"
"agarrarme";"1";"agarrare";"agarrare,agarrarse,agarrar me,agarrar-me,agarrara,agarrafare,agarrar,agarrafe"
"agendas";"1";"agendas";"agendas,agendás,agendad,agenda,agendase,agendes,agendar,agendan"
"agente";"2";"agente";"agente,gente,argente,agentes,algente,atente,agende,a gente"
"agotado";"1";"agotado";"agotado,agitado,agorado,agotad,agotador,agotando,agotados,agostado,agotada,anotado,acotado,agolado,alotado,azotado,ajotado"
"agradecerá";"1";"agradecerá";"agradecerá,agradecer,agradecerán,agradecerás,agradeceré"
"agua";"9";"agua";"agua,aguá,gua,aguar,ragua,aguan,nagua,aguas,aguad,aguda,aguza,aguja,yagua,aguo,anua"
"aguantar";"1";"aguantar";"aguantar,aguanta,aguantara,aguantare,aguantará,aguantaré,aguaitar,aguantan,aguantas,aguantad"
"aguantarlos";"1";"aguantar los";"aguantar los,aguantar-los,aguantar,preguntarlos,aguarlos,cantarlos"
"aguanto";"2";"aguanto";"aguanto,aguantó,aguanta,aguante,aguaito,aguando,aguantá,aguanté,aguan to,aguan-to"
"aguja";"1";"aguja";"aguja,agua,aguija,agujas,agujal,aguda,aduja,aguza"
"agujero";"1";"agujero";"agujero,agujeró,agujereo,agujeros,agujera,agujere,agujerá,agujeré"
"ah";"23";"ah";"ah,ha,aj,a,bah,eh,ar,oh,as,ch,al,ad,uh,ay"
"ahh";"1";"ah";"ah"
"ahhh";"1";"ah";"ah"
"ahí";"8";"ah";"ah,así"
"ahora";"21";"ahora";"ahora,ajora,hora,ahorra,ahorna,ahorca,ahorma,zahora,acora,chora,atora,adora,ahoga,afora,azora"
"ahorca";"1";"ahorca";"ahorca,ahorcá,ajorca,ahora,horca,ahorcar,ahorcan,ahorcas,ahorcad,ahorra,ahorco,ahorna,ahorma,amorca,aporca"
"ahorcado";"1";"ahorcado";"ahorcado,ahorcad,horcado,ahorcando,ahorcados,ahorcada,ahorrado,ahornado,ahormado,amorcado,aporcado,ahorcajo,a horcado,ahorca do,ahorca-do"
"ahorrar";"1";"ahorrar";"ahorrar,ajorrar,ahorra,ahorrara,ahorrare,ahorrará,ahorraré,ahorran,ahornar,ahorras,ahorcar,ahorrad,ahormar,amorrar,aforrar"
"ahorro";"1";"ahorro";"ahorro,ahorró,ajorro,ahorros,ahorra,ahorre,ahorno,ahorco,acorro,chorro,ahormo,amorro,aforro,azorro,ahorrá"
"aire";"1";"aire";"aire,airé,are,airea,airee,aireo,naire,aires,paire,aireó,aireá,aireé,arre,acre,tire"
"aitor";"1";"autor";"autor,actor,tortita"
"aitoy";"1";"abito";"abito"
"aja";"2";"aja";"aja,ajá,aj,ja,ajea,ajar,raja,aoja,ajan,naja,ajas,saja,caja,taja,laja"
"ajá";"1";"aja";"aja,ajá,aj,ajeá,rajá,aojá,ajás,sajá,tajá,majá,bajá,fajá,aje,ará,ajo"
"ajedrez";"1";"ajedrez";"ajedrez,ajedrea"
"al";"137";"al";"al,la,a,ala,ale,ali,sal,cal,tal,mal,pal,gal,val,el,ar"
"aladino";"1";"aldino";"aldino,ladino,paladino,anadino,a ladino,ala dino,ala-dino,aladierno,almandino"
"alas";"2";"alas";"alas,lasa,ala,las,aleas,arlas,ralas,alias,salas,alcas,calas,altas,atlas,talas,dalas"
"albañiles";"1";"albaÃ±iles";"albaÃ±iles,albaÃ±ilees"
"albert";"1";"albero";"albero,abertal"
"albora";"1";"labora";"labora,arbola,albor,alborea,alborga,albura,almora,albor a,albacora,albo"
"alboroto";"1";"alboroto";"alboroto,alborotó,alborto,alborotos,alborota,alborote,alborozo,alborotá,alboroté,albo roto,albo-roto,albor oto,albor-oto"
"alcaide";"1";"alcaide";"alcaide,alcaides,alcalde"
"alcanza";"1";"alcanza";"alcanza,alcanzá,alanza,alcanzar,alcanzan,alcanzas,alcanzad,alcanzo,alianza,alcanzó"
"alcinar";"1";"salcinar";"salcinar,calcinar,alucinar,alminar,calcina,lancinar,alicionar,inclinar"
