"id","titulo","texto"
  1,"Meter la PATA (versión chiste)","- Que niño tan feo#- Es mi hija...#- Ah! no sabía que fueras padre.#- Soy madre...#- Ah! si! es verdad, si te vi embarazada.#- Es adoptada#- Mejor me voy"
  2,"¿Me engañas?","–Cariño, ¿me engañas con otra?#–Vale."
  3,"Quitar el autocorrector","–¿¿¿Qué queremos???#–¡¡¡Quitar el autocorrector al movil!!!#–¿¿¿Cuándo lo queremos???#–¡Ahorca!#–¡Ahorro!#–¡Aborda!#–¡Albora!"
  4,"Sigues siendo","– Cariño, está lloviendo y sigues siendo una tonta.#– ¿Qué?#– Me dijiste que con el tiempo cambiarias..."
  5,"Como un moco","La vida es como un moco: intragable, dura y a veces no te deja respirar."
  6,"En el bote","-No te das cuenta pero ¡TE TENGO EN EL BOTE!#-¡Deja de decir gilipolleces y REMA! ¡Subnormal!"
  7,"El trozo pequeño","-¿Me das un trozo pequeño de pastel? Pero así, súper chiquitito, que estoy a dieta.#-¿Así? ¿como los otros siete?.#-Sí, porfa"
  8,"Me siento solo","-Me siento solo.#-Yo también, sentarse es fácil."
  9,"Llamadas del oftalmólogo","Tengo tres llamadas perdidas de mi oftalmólogo. El de ver me llama..."
 10,"A la rumana","-Camarero, ponga una de calamares a la rumana.#-Perdón, señor, será a la romana.#-Irina, cariño, dile al gilipollas éste de dónde eres..."
 11,"Natural de..","- ¿Me pone un zumo de piña?#- ¿Natural…?#- De Pontevedra, pero no creo que eso importe mucho..."
 12,"Signos","- ¿De qué signo es tu mujer?#- Debe ser de exclamación, porque se pasa el día gritándome..."
 13,"Capital de España","- Capital de España?#- La mayor parte en Suiza."
 14,"Día del abuelo","-Papi, ¡feliz día del abuelo!#-Ay hijita pero no tengo ningún nieto.#-¡SORPRESAAA!"
 15,"Chino","-Como se dice en chino marinero pobre?#-Chin chu lancha."
 16,"Manzanas crueles","Hay un montón de manzanas en un árbol y de repente una se cae. Todas las de arriba empiezan a reírse y a burlarse de la que se ha caído y ésta responde:#- No os riáis, ¡Inmaduras!"
 17,"Qué me das por mi marido","Dos amigas hablando:#- María, ¿qué me das por mi marido?#- Nada.#- ¡Trato hecho!"
 18,"El peo viajante","Primer acto: Un peo volando por Londres.#Segundo acto: El mismo peo volando por Berlín.#Tercer acto: El mismo peo volando por París.#¿Cómo se llama la película?#El europeo."
 19,"¿Soy adoptado?","- Papá, ¿soy adoptado?#- ¿Tú crees que te habríamos elegido a ti?"
 20,"Sujetador a la vista","- Cariño, se te ve el sujetador.#- Eso no es malo. Hay quien lo enseña adrede.#- Lo que tú digas, pero así no salgo contigo a la calle, Juanjo."
 21,"IPhone 6","-Papá, ¿recuerdas que para el iPhone 5 vendí tu coche?#-Si.#-Pues ha salido el IPhone 6.#-¡A casa!#-De eso quería hablarte."
 22,"Wifi pass","- Perdone, ¿me dice la contraseña del wifi?#- Oiga, que esto es en un funeral.#- ¿Todas en minúscula?"
 23,"Superficial","-Todos los hombres sois igual de superficiales.#-Yo no.#-Ya, pero tú estás gordo."
 24,"Me das tu móvil?","-Rubia, preciosa, qué tiene que hacer un chico como yo para conseguir tu móvil?#-Pues yo lo conseguí por puntos, 18 meses de permanencia."
 25,"A veces oigo voces","- Doctor, a veces oigo voces.#- ¿Es usted sordo?#- No.#- Asunto aclarado."
 26,"Deja de imitar","Están dos madres y una le dice a la otra:#- Escucha, dile a tu hijo que me deje de imitar.#- ¡Niño! ¡Deja de hacer el idiota!"
 27,"Rojo y Azul","Caperucita Roja se casó con el principe azul, y tuvieron un hijo violeta."
 28,"El pelo en la cama","Primer acto: Un pelo está en la cama.#Segundo acto: El pelo sigue en la cama.#Tercer acto: El pelo está todavía en la cama.#- ¿Cómo se llama la obra?#- El vello durmiente."
 29,"Dinosaurio consumidor","Primer acto: Un dinosaurio consumiendo heroína.#Segundo acto: Un dinosaurio consumiendo cocaína.#Tercer acto: Un dinosaurio consumiendo marihuana.#- ¿Cómo se llama la obra?#- Di no a las drogas."
